Local,População no último censo,geometry,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cesário Lange, 15540,,15540,15695.4,15851.95,16009.51,16169.09,16330.69,16493.3,16657.93,16823.57,16991.23,17160.91
Charqueada, 15085,,15085,15235.85,15387.35,15540.87,15695.4,15851.95,16009.51,16169.09,16330.69,16493.3,16657.93
Clementina, 7065,,7065,7135.65,7206.35,7278.06,7350.78,7423.5,7497.23,7571.97,7646.71,7722.46,7799.22
Colina, 17371,,17371,17544.71,17719.44,17896.19,18074.96,18254.74,18436.54,18620.36,18806.2,18994.06,19183.94
Colômbia, 5994,,5994,6053.94,6113.53,6174.13,6235.74,6297.35,6359.97,6422.59,6486.22,6550.86,6615.5
Conchal, 25229,,25229,25481.29,25735.81,25992.35,26251.92,26513.51,26778.13,27045.78,27315.45,27588.15,27863.88
Conchas, 16288,,16288,16450.88,16614.5,16780.14,16947.8,17116.47,17287.16,17459.87,17633.59,17809.33,17987.09
Cordeirópolis, 21080,,21080,21290.8,21502.9,21717.02,21934.17,22153.34,22374.53,22597.74,22822.97,23050.22,23280.5
Coroados, 5238,,5238,5290.38,5342.9,5395.42,5448.95,5502.48,5557.02,5612.57,5668.12,5724.68,5781.24
Coronel Macedo, 5001,,5001,5051.01,5101.51,5152.01,5203.52,5255.03,5307.55,5360.07,5413.6,5467.13,5521.67
Corumbataí, 3874,,3874,3912.74,3951.12,3990.51,4029.9,4069.29,4109.69,4150.09,4191.5,4232.91,4274.32
Cosmópolis, 58827,,58827,59415.27,60009.15,60609.09,61215.09,61827.15,62445.27,63069.45,63699.69,64335.99,64978.35
Cosmorama, 7214,,7214,7286.14,7358.86,7431.58,7505.31,7580.05,7655.8,7731.55,7808.31,7886.08,7964.86
Cotia, 201150,,201150,203161.5,205192.61,207243.92,209315.43,211408.15,213522.08,215657.22,217813.57,219991.13,222190.91
Cravinhos, 31691,,31691,32007.91,32327.07,32650.27,32976.5,33305.76,33638.05,33974.38,34313.74,34656.13,35002.56
Cristais Paulista, 7588,,7588,7663.88,7739.63,7816.39,7894.16,7972.94,8051.72,8131.51,8212.31,8294.12,8376.94
Cruzália, 2274,,2274,2296.74,2318.96,2341.18,2364.41,2387.64,2410.87,2434.1,2458.34,2482.58,2506.82
Cruzeiro, 77039,,77039,77809.39,78587.09,79372.87,80165.72,80966.65,81775.66,82592.75,83417.92,84251.17,85093.51
Cubatão, 118720,,118720,119907.2,121106.07,122317.06,123540.17,124775.4,126022.75,127282.22,128554.82,129839.54,131137.39
Cunha, 21866,,21866,22084.66,22304.84,22527.04,22752.27,22979.52,23208.79,23440.08,23674.4,23910.74,24149.1
Descalvado, 31056,,31056,31366.56,31679.66,31995.79,32314.95,32637.14,32963.37,33292.63,33624.92,33960.24,34299.6
Diadema, 386089,,386089,389949.89,393848.49,397786.48,401763.86,405780.63,409837.8,413935.37,418074.35,422254.74,426476.54
Dirce Reis, 1689,,1689,1705.89,1722.05,1739.22,1756.39,1773.56,1790.73,1807.9,1825.07,1843.25,1861.43
Divinolândia, 11208,,11208,11320.08,11433.2,11547.33,11662.47,11778.62,11895.78,12013.95,12133.13,12254.33,12376.54
Dobrada, 7939,,7939,8018.39,8098.18,8178.98,8259.78,8341.59,8424.41,8508.24,8593.08,8678.93,8764.78
Dois Córregos, 24761,,24761,25008.61,25258.08,25510.58,25765.1,26022.65,26282.22,26544.82,26809.44,27077.09,27347.77
Dolcinópolis, 2096,,2096,2116.96,2137.16,2158.37,2179.58,2200.79,2222.0,2244.22,2266.44,2288.66,2310.88
Dourado, 8609,,8609,8695.09,8781.95,8868.81,8956.68,9045.56,9135.45,9226.35,9318.26,9411.18,9505.11
